Endpoint name,Description,Test start time stamp,Number of concurrent requests,Latency,Status 200,Status 500,Status 504,Status 503
manifest/generate,Generating a manifest as a google sheet by using the example data model,31/03/2023 11:59:11,1,7.91,1,0,0,0
manifest/generate,Generating a manifest as an excel spreadsheet by using the example data model,31/03/2023 11:59:18,1,7.47,1,0,0,0
manifest/generate,Generating a manifest as a google sheet by using the example data model,31/03/2023 12:12:04,1,7.67,1,0,0,0
manifest/generate,Generating a manifest as an excel spreadsheet by using the example data model,31/03/2023 12:12:12,1,7.61,1,0,0,0
